zip,city,county,market_code
33065,Pompano Beach,Broward,FTLAU
33066,Pompano Beach,Broward,FTLAU
33067,Pompano Beach,Broward,FTLAU
33068,Pompano Beach,Broward,FTLAU
33069,Pompano Beach,Broward,FTLAU
33070,Plantation Key,Monroe,MIAMI
33071,Pompano Beach,Broward,FTLAU
33072,Pompano Beach,Broward,FTLAU
33073,Pompano Beach,Broward,FTLAU
33074,Pompano Beach,Broward,FTLAU
33075,Coral Springs,Broward,FTLAU
33076,Pompano Beach,Broward,FTLAU
33077,Pompano Beach,Broward,FTLAU
33081,Hollywood,Broward,FTLAU
33082,Pembroke Pines,Broward,FTLAU
33083,Hollywood,Broward,FTLAU
33084,Hollywood,Broward,FTLAU
33090,Homestead,Miami-Dade,MIAMI
33092,Homestead,Miami-Dade,MIAMI
33093,Margate,Broward,FTLAU
33097,Coconut Creek,Broward,FTLAU
33101,Miami,Miami-Dade,MIAMI
33102,Miami,Miami-Dade,MIAMI
33106,Miami,Miami-Dade,MIAMI
33107,Miami,Miami-Dade,MIAMI
33110,Miami,Miami-Dade,MIAMI
33111,Miami,Miami-Dade,MIAMI
33112,Miami,Miami-Dade,MIAMI
33114,Coral Gables,Miami-Dade,MIAMI
33116,Miami,Miami-Dade,MIAMI
33121,Miami,Miami-Dade,MIAMI
33122,Miami,Miami-Dade,MIAMI
33124,Miami,Miami-Dade,MIAMI
33125,Miami,Miami-Dade,MIAMI
33126,Miami,Miami-Dade,MIAMI
33127,Miami,Miami-Dade,MIAMI
33128,Miami,Miami-Dade,MIAMI
33129,Miami,Miami-Dade,MIAMI
33130,Miami,Miami-Dade,MIAMI
33131,Miami,Miami-Dade,MIAMI
33132,Miami,Miami-Dade,MIAMI
33133,Miami,Miami-Dade,MIAMI
33135,Miami,Miami-Dade,MIAMI
33136,Miami,Miami-Dade,MIAMI
33137,Miami,Miami-Dade,MIAMI
33138,Miami,Miami-Dade,MIAMI
33142,Miami,Miami-Dade,MIAMI
33143,Miami,Miami-Dade,MIAMI
33144,Miami,Miami-Dade,MIAMI
33147,Miami,Miami-Dade,MIAMI
33148,Miami,Miami-Dade,MIAMI
33150,Miami,Miami-Dade,MIAMI
33151,Miami,Miami-Dade,MIAMI
33152,Miami,Miami-Dade,MIAMI
33153,Miami,Miami-Dade,MIAMI
33155,Miami,Miami-Dade,MIAMI
33156,Miami,Miami-Dade,MIAMI
33157,Miami,Miami-Dade,MIAMI
33158,Miami,Miami-Dade,MIAMI
33159,Miami,Miami-Dade,MIAMI
33160,North Miami Beach,Miami-Dade,MIAMI
33161,Miami,Miami-Dade,MIAMI
33162,Miami,Miami-Dade,MIAMI
33163,Miami,Miami-Dade,MIAMI
33164,Miami,Miami-Dade,MIAMI
33165,Miami,Miami-Dade,MIAMI
33166,Miami,Miami-Dade,MIAMI
33167,Miami,Miami-Dade,MIAMI
33168,Miami,Miami-Dade,MIAMI
33169,Miami,Miami-Dade,MIAMI
33170,Miami,Miami-Dade,MIAMI
33172,Miami,Miami-Dade,MIAMI
33173,Miami,Miami-Dade,MIAMI
33174,Miami,Miami-Dade,MIAMI
33175,Miami,Miami-Dade,MIAMI
33176,Miami,Miami-Dade,MIAMI
33177,Miami,Miami-Dade,MIAMI
33178,Miami,Miami-Dade,MIAMI
33179,Miami,Miami-Dade,MIAMI
33180,Miami,Miami-Dade,MIAMI
33181,Miami,Miami-Dade,MIAMI
33182,Miami,Miami-Dade,MIAMI
33183,Miami,Miami-Dade,MIAMI
33184,Miami,Miami-Dade,MIAMI
33185,Miami,Miami-Dade,MIAMI
33186,Miami,Miami-Dade,MIAMI
33187,Miami,Miami-Dade,MIAMI
33188,Miami,Miami-Dade,MIAMI
33189,Miami,Miami-Dade,MIAMI
33190,Miami,Miami-Dade,MIAMI
33191,Miami,Miami-Dade,MIAMI
33192,Miami,Miami-Dade,MIAMI
33193,Miami,Miami-Dade,MIAMI
33194,Miami,Miami-Dade,MIAMI
33195,Miami,Miami-Dade,MIAMI
33196,Miami,Miami-Dade,MIAMI
33197,Miami,Miami-Dade,MIAMI
33198,Miami,Miami-Dade,MIAMI
33199,Miami,Miami-Dade,MIAMI
33206,Miami,Miami-Dade,MIAMI
33222,Miami,Miami-Dade,MIAMI
33231,Miami,Miami-Dade,MIAMI
33233,Miami,Miami-Dade,MIAMI
33234,Miami,Miami-Dade,MIAMI
33238,Miami,Miami-Dade,MIAMI
33242,Miami,Miami-Dade,MIAMI
33243,Miami,Miami-Dade,MIAMI
33245,Miami,Miami-Dade,MIAMI
33247,Miami,Miami-Dade,MIAMI
33255,Miami,Miami-Dade,MIAMI
33256,Miami,Miami-Dade,MIAMI
33257,Miami,Miami-Dade,MIAMI
33261,Miami,Miami-Dade,MIAMI
33265,Miami,Miami-Dade,MIAMI
33266,Miami,Miami-Dade,MIAMI
33269,Miami,Miami-Dade,MIAMI
33280,Miami,Miami-Dade,MIAMI
33283,Miami,Miami-Dade,MIAMI
33296,Miami,Miami-Dade,MIAMI
33299,Miami,Miami-Dade,MIAMI
33301,Fort Lauderdale,Broward,FTLAU
33302,Fort Lauderdale,Broward,FTLAU
33303,Fort Lauderdale,Broward,FTLAU
33304,Fort Lauderdale,Broward,FTLAU
33305,Fort Lauderdale,Broward,FTLAU
33306,Fort Lauderdale,Broward,FTLAU
33307,Fort Lauderdale,Broward,FTLAU
33308,Fort Lauderdale,Broward,FTLAU
33309,Fort Lauderdale,Broward,FTLAU
33310,Fort Lauderdale,Broward,FTLAU
33311,Fort Lauderdale,Broward,FTLAU
33312,Fort Lauderdale,Broward,FTLAU
33313,Fort Lauderdale,Broward,FTLAU
33314,Fort Lauderdale,Broward,FTLAU
33315,Fort Lauderdale,Broward,FTLAU
33316,Fort Lauderdale,Broward,FTLAU
33317,Fort Lauderdale,Broward,FTLAU
33318,Fort Lauderdale,Broward,FTLAU
33319,Fort Lauderdale,Broward,FTLAU
33320,Fort Lauderdale,Broward,FTLAU
33321,Fort Lauderdale,Broward,FTLAU
33322,Fort Lauderdale,Broward,FTLAU
33323,Fort Lauderdale,Broward,FTLAU
33324,Fort Lauderdale,Broward,FTLAU
33325,Fort Lauderdale,Broward,FTLAU
33326,Fort Lauderdale,Broward,FTLAU
33327,Fort Lauderdale,Broward,FTLAU
33328,Fort Lauderdale,Broward,FTLAU
33329,Fort Lauderdale,Broward,FTLAU
33330,Fort Lauderdale,Broward,FTLAU
33331,Fort Lauderdale,Broward,FTLAU
33332,Fort Lauderdale,Broward,FTLAU
33334,Fort Lauderdale,Broward,FTLAU
33335,Fort Lauderdale,Broward,FTLAU
33336,Fort Lauderdale,Broward,FTLAU
33337,Fort Lauderdale,Broward,FTLAU
33338,Fort Lauderdale,Broward,FTLAU
33339,Fort Lauderdale,Broward,FTLAU
33340,Fort Lauderdale,Broward,FTLAU
33345,Fort Lauderdale,Broward,FTLAU
33346,Fort Lauderdale,Broward,FTLAU
33348,Fort Lauderdale,Broward,FTLAU
33349,Fort Lauderdale,Broward,FTLAU
33351,Fort Lauderdale,Broward,FTLAU
33355,Fort Lauderdale,Broward,FTLAU
33359,Fort Lauderdale,Broward,FTLAU
33388,Plantation,Broward,FTLAU
33394,Fort Lauderdale,Broward,FTLAU
33402,West Palm Beach,Palm Beach,BOCA
33403,West Palm Beach,Palm Beach,BOCA
33404,Riviera Beach,Palm Beach,BOCA
33405,West Palm Beach,Palm Beach,BOCA
33406,West Palm Beach,Palm Beach,BOCA
33407,Riviera Beach,Palm Beach,BOCA
33408,North Palm Beach,Palm Beach,BOCA
33409,West Palm Beach,Palm Beach,BOCA
33410,Riviera Beach,Palm Beach,BOCA
33411,West Palm Beach,Palm Beach,BOCA
33412,West Palm Beach,Palm Beach,BOCA
33413,West Palm Beach,Palm Beach,BOCA
33414,Wellington,Palm Beach,BOCA
33415,West Palm Beach,Palm Beach,BOCA
33416,West Palm Beach,Palm Beach,BOCA
33417,West Palm Beach,Palm Beach,BOCA
33418,Riviera Beach,Palm Beach,BOCA
33419,West Palm Beach,Palm Beach,BOCA
33420,West Palm Beach,Palm Beach,BOCA
33421,Royal Palm Beach,Palm Beach,BOCA
33422,West Palm Beach,Palm Beach,BOCA
33424,Boynton Beach,Palm Beach,BOCA
33425,Boynton Beach,Palm Beach,BOCA
33426,Boynton Beach,Palm Beach,BOCA
33427,Boca Raton,Palm Beach,BOCA
33428,Boca Raton,Palm Beach,BOCA
33429,Boca Raton,Palm Beach,BOCA
33431,Boca Raton,Palm Beach,BOCA
33432,Boca Raton,Palm Beach,BOCA
33433,Boca Raton,Palm Beach,BOCA
33434,Boca Raton,Palm Beach,BOCA
33435,Boynton Beach,Palm Beach,BOCA
33436,Boynton Beach,Palm Beach,BOCA
33437,Boynton Beach,Palm Beach,BOCA
33439,Canal Point,Palm Beach,BOCA
33441,Deerfield Beach,Broward,FTLAU
33442,Deerfield Beach,Broward,FTLAU
33443,Deerfield Beach,Broward,FTLAU
33444,Delray Beach,Palm Beach,BOCA
33445,Delray Beach,Palm Beach,BOCA
33446,Delray Beach,Palm Beach,BOCA
33447,Delray Beach,Palm Beach,BOCA
33448,Delray Beach,Palm Beach,BOCA
33449,Lake Worth,Palm Beach,BOCA
33454,Greenacres,Palm Beach,BOCA
33455,Hobe Sound,Martin,BOCA
33458,Jupiter,Palm Beach,BOCA
33460,Lake Worth,Palm Beach,BOCA
33461,Lake Worth,Palm Beach,BOCA
33462,Lake Worth,Palm Beach,BOCA
33463,Lake Worth,Palm Beach,BOCA
33464,Boca Raton,Palm Beach,BOCA
33465,Lake Worth,Palm Beach,BOCA
33466,Lake Worth,Palm Beach,BOCA
33467,Lake Worth,Palm Beach,BOCA
33468,Jupiter,Palm Beach,BOCA
33469,Jupiter,Palm Beach,BOCA
33470,Loxahatchee,Palm Beach,BOCA
33471,Moore Haven,Glades,FTMYR
33472,Boynton Beach,Palm Beach,BOCA
33473,Boynton Beach,Palm Beach,BOCA
33474,Boynton Beach,Palm Beach,BOCA
33475,Hobe Sound,Martin,BOCA
33477,Jupiter,Palm Beach,BOCA
33478,Jupiter,Palm Beach,BOCA
33480,Palm Beach,Palm Beach,BOCA
33481,Boca Raton,Palm Beach,BOCA
33482,Delray Beach,Palm Beach,BOCA
33483,Delray Beach,Palm Beach,BOCA
33484,Delray Beach,Palm Beach,BOCA
33486,Boca Raton,Palm Beach,BOCA
33487,Boca Raton,Palm Beach,BOCA
33488,Boca Raton,Palm Beach,BOCA
33496,Boca Raton,Palm Beach,BOCA
33497,Boca Raton,Palm Beach,BOCA
33498,Boca Raton,Palm Beach,BOCA
33499,Boca Raton,Palm Beach,BOCA
33503,Balm,Hillsborough,STPET
33508,Brandon,Hillsborough,STPET
33509,Brandon,Hillsborough,STPET
33510,Brandon,Hillsborough,STPET
33511,Brandon,Hillsborough,STPET
33513,Bushnell,Sumter,ORL
33514,Center Hill,Sumter,ORL
33521,Coleman,Sumter,ORL
33523,Dade City,Pasco,STPET
33524,Crystal Springs,Pasco,STPET
33525,Dade City,Pasco,STPET
33526,Dade City,Pasco,STPET
33527,Dover,Hillsborough,STPET
33530,Durant,Hillsborough,STPET
33534,Gibsonton,Hillsborough,STPET
33537,Lacoochee,Pasco,STPET
33538,Lake Panasoffkee,Sumter,ORL
33539,Zephyrhills,Pasco,STPET
33540,Zephyrhills,Pasco,STPET
33541,Zephyrhills,Pasco,STPET
33542,Zephyrhills,Pasco,STPET
33543,Wesley Chapel,Pasco,STPET
33544,Wesley Chapel,Pasco,STPET
33545,Zephyrhills,Pasco,STPET
33547,Lithia,Hillsborough,STPET
33548,Lutz,Hillsborough,STPET
33549,Lutz,Hillsborough,STPET
33550,Mango,Hillsborough,STPET
33556,Odessa,Hillsborough,STPET
33558,Lutz,Hillsborough,STPET
33559,Lutz,Hillsborough,STPET
33563,Plant City,Hillsborough,STPET
33564,Plant City,Hillsborough,STPET
33565,Plant City,Hillsborough,STPET
33566,Plant City,Hillsborough,STPET
33567,Plant City,Hillsborough,STPET
33568,Riverview,Hillsborough,STPET
33569,Riverview,Hillsborough,STPET
33570,Ruskin,Hillsborough,STPET
33571,Sun City Center,Hillsborough,STPET
33572,Apollo Beach,Hillsborough,STPET
33573,Sun City Center,Hillsborough,STPET
33574,Saint Leo,Pasco,STPET
33575,Ruskin,Hillsborough,STPET
33576,San Antonio,Pasco,STPET
33578,Riverview,Hillsborough,STPET
33579,Riverview,Hillsborough,STPET
33583,Seffner,Hillsborough,STPET
33584,Seffner,Hillsborough,STPET
33585,Sumterville,Sumter,ORL
33586,Sun City,Hillsborough,STPET
33587,Sydney,Hillsborough,STPET
33592,Thonotosassa,Hillsborough,STPET
33593,Trilby,Pasco,STPET
33594,Valrico,Hillsborough,STPET
33595,Valrico,Hillsborough,STPET
33596,Valrico,Hillsborough,STPET
33597,Webster,Sumter,ORL
33598,Wimauma,Hillsborough,STPET
33601,Tampa,Hillsborough,STPET
33602,Tampa,Hillsborough,STPET
33603,Tampa,Hillsborough,STPET
33604,Tampa,Hillsborough,STPET
33605,Tampa,Hillsborough,STPET
33606,Tampa,Hillsborough,STPET
33607,Tampa,Hillsborough,STPET
33608,Tampa,Hillsborough,STPET
33609,Tampa,Hillsborough,STPET
33610,Tampa,Hillsborough,STPET
33611,Tampa,Hillsborough,STPET
33612,Tampa,Hillsborough,STPET
33613,Tampa,Hillsborough,STPET
33614,Tampa,Hillsborough,STPET
33615,Tampa,Hillsborough,STPET
33616,Tampa,Hillsborough,STPET
33617,Tampa,Hillsborough,STPET
33618,Tampa,Hillsborough,STPET
33619,Tampa,Hillsborough,STPET
33620,Tampa,Hillsborough,STPET
33621,Tampa,Hillsborough,STPET
33622,Tampa,Hillsborough,STPET
33623,Tampa,Hillsborough,STPET
33624,Tampa,Hillsborough,STPET
33625,Tampa,Hillsborough,STPET
33626,Tampa,Hillsborough,STPET
33629,Tampa,Hillsborough,STPET
33630,Tampa,Hillsborough,STPET
33631,Tampa,Hillsborough,STPET
33633,Tampa,Hillsborough,STPET
33634,Tampa,Hillsborough,STPET
33635,Tampa,Hillsborough,STPET
33637,Tampa,Hillsborough,STPET
33646,Tampa,Hillsborough,STPET
33647,Tampa,Hillsborough,STPET
33650,Tampa,Hillsborough,STPET
33651,Tampa,Hillsborough,STPET
33655,Tampa,Hillsborough,STPET
33660,Tampa,Hillsborough,STPET
33661,Tampa,Hillsborough,STPET
33662,Tampa,Hillsborough,STPET
33663,Tampa,Hillsborough,STPET
33664,Tampa,Hillsborough,STPET
33672,Tampa,Hillsborough,STPET
33673,Tampa,Hillsborough,STPET
33674,Tampa,Hillsborough,STPET
33675,Tampa,Hillsborough,STPET
33677,Tampa,Hillsborough,STPET
33679,Tampa,Hillsborough,STPET
33680,Tampa,Hillsborough,STPET
33681,Tampa,Hillsborough,STPET
33682,Tampa,Hillsborough,STPET
33684,Tampa,Hillsborough,STPET
33685,Tampa,Hillsborough,STPET
33686,Tampa,Hillsborough,STPET
33687,Tampa,Hillsborough,STPET
33688,Tampa,Hillsborough,STPET
33689,Tampa,Hillsborough,STPET
33690,Tampa,Hillsborough,STPET
33694,Tampa,Hillsborough,STPET
33697,Tampa,Hillsborough,STPET
33701,Saint Petersburg,Pinellas,STPET
33702,Saint Petersburg,Pinellas,STPET
33703,Saint Petersburg,Pinellas,STPET
33704,Saint Petersburg,Pinellas,STPET
33705,Saint Petersburg,Pinellas,STPET
33706,Saint Petersburg,Pinellas,STPET
33707,Saint Petersburg,Pinellas,STPET
33708,Saint Petersburg,Pinellas,STPET
33709,Saint Petersburg,Pinellas,STPET
33710,Saint Petersburg,Pinellas,STPET
33711,Saint Petersburg,Pinellas,STPET
33712,Saint Petersburg,Pinellas,STPET
33713,Saint Petersburg,Pinellas,STPET
33714,Saint Petersburg,Pinellas,STPET
33715,Saint Petersburg,Pinellas,STPET
33716,Saint Petersburg,Pinellas,STPET
33728,Saint Petersburg,Pinellas,STPET
33729,Saint Petersburg,Pinellas,STPET
33730,Saint Petersburg,Pinellas,STPET
33731,Saint Petersburg,Pinellas,STPET
33732,Saint Petersburg,Pinellas,STPET
33733,Saint Petersburg,Pinellas,STPET
33734,Saint Petersburg,Pinellas,STPET
33736,Saint Petersburg,Pinellas,STPET
33737,Saint Petersburg,Pinellas,STPET
33738,Saint Petersburg,Pinellas,STPET
33740,Saint Petersburg,Pinellas,STPET
33741,Saint Petersburg,Pinellas,STPET
33742,Saint Petersburg,Pinellas,STPET
33743,Saint Petersburg,Pinellas,STPET
33744,Bay Pines,Pinellas,STPET
33747,Saint Petersburg,Pinellas,STPET
33755,Clearwater,Pinellas,STPET
33756,Clearwater,Pinellas,STPET
33757,Clearwater,Pinellas,STPET
33758,Clearwater,Pinellas,STPET
33759,Clearwater,Pinellas,STPET
33760,Clearwater,Pinellas,STPET
33761,Clearwater,Pinellas,STPET
33762,Clearwater,Pinellas,STPET
33763,Clearwater,Pinellas,STPET
33764,Clearwater,Pinellas,STPET
33765,Clearwater,Pinellas,STPET
33766,Clearwater,Pinellas,STPET
33767,Clearwater Beach,Pinellas,STPET
33769,Clearwater,Pinellas,STPET
33770,Largo,Pinellas,STPET
33771,Largo,Pinellas,STPET
33772,Seminole,Pinellas,STPET
33773,Largo,Pinellas,STPET
33774,Largo,Pinellas,STPET
33775,Seminole,Pinellas,STPET
33776,Seminole,Pinellas,STPET
33777,Seminole,Pinellas,STPET
33778,Largo,Pinellas,STPET
33779,Largo,Pinellas,STPET
33780,Pinellas Park,Pinellas,STPET
33781,Pinellas Park,Pinellas,STPET
